year,city,country,avg_temp
1841,Taichung,Taiwan,20.29
1842,Taichung,Taiwan,20.64
1843,Taichung,Taiwan,20.73
1844,Taichung,Taiwan,20.39
1845,Taichung,Taiwan,20.47
1846,Taichung,Taiwan,21.02
1847,Taichung,Taiwan,20.76
1848,Taichung,Taiwan,20.25
1849,Taichung,Taiwan,20.59
1850,Taichung,Taiwan,20.80
1851,Taichung,Taiwan,20.78
1852,Taichung,Taiwan,20.82
1853,Taichung,Taiwan,21.18
1854,Taichung,Taiwan,21.15
1855,Taichung,Taiwan,20.78
1856,Taichung,Taiwan,20.40
1857,Taichung,Taiwan,20.85
1858,Taichung,Taiwan,20.58
1859,Taichung,Taiwan,20.79
1860,Taichung,Taiwan,20.63
1861,Taichung,Taiwan,20.56
1862,Taichung,Taiwan,19.77
1863,Taichung,Taiwan,20.34
1864,Taichung,Taiwan,20.16
1865,Taichung,Taiwan,20.51
1866,Taichung,Taiwan,20.77
1867,Taichung,Taiwan,20.54
1868,Taichung,Taiwan,21.13
1869,Taichung,Taiwan,21.15
1870,Taichung,Taiwan,21.24
1871,Taichung,Taiwan,21.26
1872,Taichung,Taiwan,21.23
1873,Taichung,Taiwan,20.83
1874,Taichung,Taiwan,20.97
1875,Taichung,Taiwan,20.71
1876,Taichung,Taiwan,20.51
1877,Taichung,Taiwan,20.90
1878,Taichung,Taiwan,20.95
1879,Taichung,Taiwan,21.12
1880,Taichung,Taiwan,20.43
1881,Taichung,Taiwan,20.73
1882,Taichung,Taiwan,20.58
1883,Taichung,Taiwan,20.49
1884,Taichung,Taiwan,20.07
1885,Taichung,Taiwan,20.21
1886,Taichung,Taiwan,20.08
1887,Taichung,Taiwan,20.69
1888,Taichung,Taiwan,21.12
1889,Taichung,Taiwan,20.80
1890,Taichung,Taiwan,21.09
1891,Taichung,Taiwan,20.79
1892,Taichung,Taiwan,20.66
1893,Taichung,Taiwan,20.34
1894,Taichung,Taiwan,20.92
1895,Taichung,Taiwan,20.55
1896,Taichung,Taiwan,20.95
1897,Taichung,Taiwan,21.08
1898,Taichung,Taiwan,21.04
1899,Taichung,Taiwan,20.59
1900,Taichung,Taiwan,20.91
1901,Taichung,Taiwan,20.56
1902,Taichung,Taiwan,21.20
1903,Taichung,Taiwan,20.54
1904,Taichung,Taiwan,20.50
1905,Taichung,Taiwan,20.75
1906,Taichung,Taiwan,21.03
1907,Taichung,Taiwan,20.82
